AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
TOMBALL PD,1,5,9,18,24,230,29,316,"11,435",2015,Harris County
HOUSTON BAPTIST UNIV PD,0,1,1,1,13,32,0,48,0,2015,Harris County
BELLAIRE PD,0,0,15,6,73,195,16,305,"18,605",2015,Harris County
NASSAU BAY PD,0,3,2,5,16,77,6,109,"4,132",2015,Harris County
DEER PARK PD,0,7,11,23,80,513,35,669,"34,131",2015,Harris County
KATY PD,0,17,11,33,63,621,35,780,"15,969",2015,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,0,0,0,1,18,0,19,0,2015,Harris County
HARRIS CO SO,89,454,"3,452","5,214","9,966","29,300","6,434","54,909","1,806,761",2015,Harris County
BAYTOWN PD,6,34,81,112,483,"1,967",426,"3,109","77,145",2015,Harris County
HEDWIG VILLAGE PD,0,0,6,0,23,159,9,197,"2,705",2015,Harris County
TEXAS SOUTHERN UNIV PD,2,1,4,5,49,168,3,232,0,2015,Harris County
WEST UNIVERSITY PLACE PD,0,0,8,1,105,85,7,206,"15,806",2015,Harris County
KLEIN ISD PD,0,0,4,12,7,48,2,73,0,2015,Harris County
HUMBLE ISD PD,0,2,2,3,0,142,6,155,0,2015,Harris County
ALDINE ISD PD,0,0,6,0,33,68,9,116,0,2015,Harris County
GALENA PARK PD,0,10,8,19,49,129,42,257,"11,240",2015,Harris County
PASADENA PD,2,70,183,377,724,"2,994",555,"4,905","154,986",2015,Harris County
SEABROOK PD,0,3,7,13,34,108,16,181,"12,997",2015,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,1,1,2,42,2,48,0,2015,Harris County
HOUSTON METRO TRANSIT PD,0,0,0,0,0,31,8,39,0,2015,Harris County
MEMORIAL VILLAGES PD,0,0,3,3,27,58,1,92,"12,150",2015,Harris County
SOUTH HOUSTON PD,0,2,40,36,96,315,144,633,"17,667",2015,Harris County
SPRING VALLEY VILLAGE PD,0,0,4,1,17,83,5,110,"4,251",2015,Harris County
KATY ISD PD,0,1,1,5,5,268,0,280,0,2015,Harris County
LAKEVIEW PD,0,0,0,10,9,17,2,38,"6,468",2015,Harris County
HOUSTON COMM COLLEGE PD,0,2,5,2,20,133,11,173,0,2015,Harris County
SOUTHSIDE PLACE PD,0,0,1,3,2,10,0,16,"1,844",2015,Harris County
SPRING ISD PD,0,2,6,29,6,122,4,169,0,2015,Harris County
UNIV OF TX: HOUSTON  PD,0,3,5,13,21,288,2,332,0,2015,Harris County
DAYTON PD,1,3,4,10,22,130,22,192,"7,516",2015,Matagorda County
CLEVELAND PD (NR),1,11,8,76,79,569,50,794,"7,761",2015,Matagorda County
LIBERTY PD,1,2,4,31,64,247,22,371,"9,050",2015,Matagorda County
LIBERTY CO SO,4,30,11,124,233,401,79,882,"54,555",2015,Matagorda County
MATAGORDA CO SO,0,6,4,32,103,184,8,337,"14,605",2015,Matagorda County
BAY CITY ISD PD,0,0,0,0,1,12,0,13,0,2015,Matagorda County
PALACIOS PD,0,0,1,3,34,97,4,139,"4,638",2015,Matagorda County
BAY CITY PD,1,8,15,35,189,520,5,773,"17,305",2015,Matagorda County
OAK RIDGE NORTH PD,0,0,2,3,8,44,3,60,"3,186",2015,Montgomery County
STAGECOACH PD (NR),0,0,0,0,1,1,0,2,587,2015,Montgomery County
WOODBRANCH PD (CB),0,0,0,1,2,2,1,6,"1,384",2015,Montgomery County
MONTGOMERY CO SO,6,207,125,483,"1,356","3,706",593,"6,476","441,523",2015,Montgomery County
WILLIS PD,0,7,7,67,36,109,19,245,"6,375",2015,Montgomery County
MONTGOMERY PD,0,0,1,2,2,5,0,10,733,2015,Montgomery County
SPLENDORA PD,0,1,2,6,20,20,6,55,"1,694",2015,Montgomery County
MAGNOLIA PD,0,0,1,6,12,29,6,54,"1,728",2015,Montgomery County
CONROE ISD PD,0,0,0,21,1,131,0,153,0,2015,Montgomery County
CONROE PD,1,36,60,112,355,"1,746",142,"2,452","68,197",2015,Montgomery County
ROMAN FOREST PD,0,1,0,2,3,9,1,16,"1,882",2015,Montgomery County
PATTON VILLAGE PD,0,0,1,9,9,14,5,38,"1,632",2015,Montgomery County
SHENANDOAH PD,0,0,7,5,24,202,12,250,"2,811",2015,Montgomery County
LIVINGSTON PD,0,1,2,31,25,173,13,245,"5,129",2015,Polk County
CORRIGAN PD,1,1,3,1,13,20,2,41,"1,525",2015,Polk County
POLK CO SO,1,28,3,49,173,304,47,605,"37,978",2015,Polk County
ONALASKA PD,0,1,0,15,16,11,4,47,"1,708",2015,Polk County
SAN JACINTO CO SO,0,29,3,37,195,198,73,535,"27,326",2015,Walker County
HUNTSVILLE PD,2,32,33,117,153,656,59,"1,052","40,866",2015,Walker County
WALKER CO SO,1,19,3,55,133,153,23,387,"29,475",2015,Walker County
BROOKSHIRE PD,0,2,2,12,16,34,6,72,"5,004",2015,Waller County
WALLER CO SO,2,18,2,36,94,159,29,340,"26,145",2015,Waller County
HEMPSTEAD PD,0,4,15,100,37,201,1,358,"6,941",2015,Waller County
WALLER PD,0,0,3,7,14,79,7,110,"2,483",2015,Waller County
PRAIRIE VIEW PD,2,2,8,14,19,25,6,76,"6,360",2015,Waller County
WHARTON CO SO,1,13,3,49,115,213,28,422,"21,033",2015,Wharton County
WHARTON PD,0,0,8,35,68,351,9,471,"8,618",2015,Wharton County
EL CAMPO PD,0,7,3,30,54,228,16,338,"11,570",2015,Wharton County
BELLVILLE PD,0,3,2,4,10,59,2,80,"4,296",2016,Austin County
SEALY ISD PD,0,0,0,0,0,4,0,4,0,2016,Austin County
AUSTIN CO SO,0,3,3,20,52,65,22,165,"17,650",2016,Austin County
WALLIS PD,0,0,0,4,6,4,1,15,"1,303",2016,Austin County
SEALY PD,0,0,6,15,68,107,6,202,"6,469",2016,Austin County
SURFSIDE BEACH PD,0,0,0,3,9,9,2,23,557,2016,Brazoria County
DANBURY PD (NR),0,1,0,1,2,0,0,4,"1,788",2016,Brazoria County
ANGLETON ISD PD,0,0,0,7,0,60,1,68,0,2016,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,1,22,0,23,0,2016,Brazoria County
OYSTER CREEK PD,0,1,0,18,9,22,3,53,"1,136",2016,Brazoria County
SWEENY PD,0,5,2,4,21,91,6,129,"3,780",2016,Brazoria County
WEST COLUMBIA PD,0,4,1,11,23,58,1,98,"3,941",2016,Brazoria County
MANVEL PD,0,0,1,3,41,63,4,112,"8,645",2016,Brazoria County
ANGLETON PD,0,14,16,28,69,287,16,430,"19,546",2016,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,1,0,13,0,14,0,2016,Brazoria County
BRAZOSPORT ISD PD,0,0,1,0,2,18,2,23,0,2016,Brazoria County
PEARLAND PD,1,39,62,97,254,"1,693",111,"2,257","112,814",2016,Brazoria County
BRAZORIA CO SO,5,8,36,124,270,679,130,"1,252","117,725",2016,Brazoria County
ALVIN PD,0,17,10,29,86,495,64,701,"26,100",2016,Brazoria County
ALVIN ISD PD,0,0,0,10,3,129,0,142,0,2016,Brazoria County
CLUTE PD,1,1,5,9,47,138,10,211,"11,490",2016,Brazoria County
RICHWOOD PD,0,0,0,3,5,27,2,37,"3,895",2016,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,0,0,0,0,0,0,0,"1,577",2016,Brazoria County
FREEPORT PD,0,2,6,22,75,238,15,358,"12,175",2016,Brazoria County
JONES CREEK PD (NR),0,0,0,0,5,17,1,23,"2,076",2016,Brazoria County
LAKE JACKSON PD,1,15,15,23,63,350,30,497,"27,676",2016,Brazoria County
BRAZORIA PD,0,3,0,2,11,34,6,56,"3,082",2016,Brazoria County
BRYAN PD,1,59,96,264,511,"1,899",142,"2,972","83,286",2016,Brazos County
COLLEGE STATION PD,3,52,50,140,342,"1,840",108,"2,535","110,785",2016,Brazos County
BRAZOS CO SO,1,10,2,67,90,206,24,400,"24,415",2016,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,8,3,3,29,409,14,466,0,2016,Brazos County
CHAMBERS CO SO,3,17,12,102,137,523,46,840,"29,762",2016,Chambers County
MONT BELVIEU PD,0,2,6,7,12,73,29,129,"5,482",2016,Chambers County
BARBERS HILL ISD PD,0,0,0,0,0,25,1,26,0,2016,Chambers County
MEADOWS PLACE PD,2,1,3,2,22,82,11,123,"4,781",2016,Fort Bend County
ARCOLA PD,0,0,0,1,1,1,2,5,"1,679",2016,Fort Bend County
SUGAR LAND PD,0,16,43,18,250,"1,162",48,"1,537","90,088",2016,Fort Bend County
NEEDVILLE PD,0,1,0,2,8,12,0,23,"3,088",2016,Fort Bend County
MISSOURI CITY PD,3,22,56,63,216,953,94,"1,407","75,607",2016,Fort Bend County
FORT BEND ISD PD,0,2,4,3,4,252,0,265,0,2016,Fort Bend County
ROSENBERG PD,2,19,21,65,160,396,62,725,"36,360",2016,Fort Bend County
FORT BEND CO SO,18,83,141,516,"1,149","3,006",264,"5,177","451,651",2016,Fort Bend County
STAFFORD PD,2,13,35,46,113,548,52,809,"18,602",2016,Fort Bend County
FULSHEAR PD,0,0,0,2,16,38,1,57,"8,237",2016,Fort Bend County
RICHMOND PD,2,0,10,31,59,193,15,310,"12,245",2016,Fort Bend County
LA MARQUE PD,4,10,21,88,172,619,54,968,"16,191",2016,Galveston County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,2,16,1,19,0,2016,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,0,1,3,4,106,1,115,0,2016,Galveston County
KEMAH PD,0,1,4,2,11,141,7,166,"2,028",2016,Galveston County
GALVESTON CO SO,1,23,22,95,292,620,95,"1,148","39,322",2016,Galveston County
GALVESTON PD,6,60,77,101,331,"1,244",196,"2,015","50,667",2016,Galveston County
SANTA FE ISD PD,0,1,0,0,2,17,0,20,0,2016,Galveston County
GALVESTON ISD PD,0,0,0,2,2,31,1,36,0,2016,Galveston County
HITCHCOCK PD,1,3,5,18,59,136,11,233,"7,753",2016,Galveston County
BAYOU VISTA PD (NR),0,0,0,0,4,10,1,15,"1,603",2016,Galveston County
DICKINSON PD,0,24,16,31,77,307,46,501,"20,131",2016,Galveston County
FRIENDSWOOD PD,0,11,6,10,36,250,16,329,"39,402",2016,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,3,0,0,1,11,2,17,0,2016,Galveston County
JAMAICA BEACH PD,0,0,1,0,2,10,3,16,"1,059",2016,Galveston County
TEXAS CITY PD,2,33,63,151,324,"1,349",86,"2,008","48,095",2016,Galveston County
SANTA FE PD,0,10,3,10,42,134,20,219,"13,172",2016,Galveston County
LEAGUE CITY PD,5,35,22,20,256,"1,589",92,"2,019","101,436",2016,Galveston County
RICE UNIV PD,0,3,5,1,5,140,2,156,0,2016,Harris County
UNIV OF ST. THOMAS PD,0,0,1,1,5,13,0,20,0,2016,Harris County
HOUSTON ISD PD,0,2,20,62,169,215,17,485,0,2016,Harris County
SPRING BRANCH ISD PD,0,0,2,1,7,38,1,49,0,2016,Harris County
PASADENA ISD PD,0,4,2,3,14,76,4,103,0,2016,Harris County
JACINTO CITY PD,0,0,15,12,48,191,31,297,"10,825",2016,Harris County
LA PORTE PD,1,11,13,48,97,432,73,675,"35,410",2016,Harris County
PORT OF HOUSTON AUTH PD,0,0,0,0,0,12,9,21,0,2016,Harris County
UNIV OF HOUSTON PD,0,0,12,6,31,469,17,535,0,2016,Harris County
SHOREACRES PD (NR),0,0,0,3,5,7,0,15,"1,624",2016,Harris County
HOUSTON PD,301,"1,210","9,962","12,487","18,488","69,630","12,738","124,816","2,334,348",2016,Harris County
WEBSTER PD,0,16,26,19,72,699,71,903,"11,213",2016,Harris County
TOMBALL PD,0,9,13,23,58,289,47,439,"11,700",2016,Harris County
JERSEY VILLAGE PD,0,2,5,9,33,147,28,224,"7,954",2016,Harris County
HOUSTON BAPTIST UNIV PD,0,2,2,1,16,58,2,81,0,2016,Harris County
ALIEF ISD PD,0,1,6,38,9,36,6,96,0,2016,Harris County
HUMBLE PD,0,16,64,41,158,"1,238",171,"1,688","15,770",2016,Harris County
KATY PD,1,10,17,31,90,608,61,818,"16,589",2016,Harris County
NASSAU BAY PD,0,1,2,1,20,101,19,144,"4,118",2016,Harris County
BELLAIRE PD,1,0,22,5,84,178,15,305,"18,859",2016,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,1,0,0,4,26,1,32,0,2016,Harris County
HARRIS CO SO,92,537,"3,044","5,181","9,162","29,962","6,104","54,082","1,825,580",2016,Harris County
DEER PARK PD,0,16,15,34,48,509,35,657,"34,156",2016,Harris County
BAYTOWN PD,9,25,98,170,525,"1,960",373,"3,160","77,224",2016,Harris County
TEXAS SOUTHERN UNIV PD,0,1,4,3,22,127,1,158,0,2016,Harris County
HEDWIG VILLAGE PD,0,0,3,0,13,166,4,186,"2,724",2016,Harris County
HUMBLE ISD PD,0,2,3,7,1,162,4,179,0,2016,Harris County
WEST UNIVERSITY PLACE PD,0,0,7,2,79,48,6,142,"15,932",2016,Harris County
KLEIN ISD PD,0,1,6,5,7,119,5,143,0,2016,Harris County
PASADENA PD,3,105,211,372,683,"2,912",413,"4,699","154,648",2016,Harris County
SEABROOK PD,0,5,5,11,24,160,27,232,"14,091",2016,Harris County
HOUSTON METRO TRANSIT PD,0,0,0,0,0,29,5,34,0,2016,Harris County
MEMORIAL VILLAGES PD,0,0,5,1,26,85,3,120,"12,282",2016,Harris County
ALDINE ISD PD,0,0,8,0,43,56,3,110,0,2016,Harris County
GALENA PARK PD,0,5,11,25,43,98,21,203,"11,209",2016,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,1,0,36,1,38,0,2016,Harris County
KATY ISD PD,0,19,0,1,8,235,3,266,0,2016,Harris County
SOUTH HOUSTON PD,1,5,34,49,70,286,140,585,"17,650",2016,Harris County
SPRING VALLEY VILLAGE PD,0,0,0,6,21,119,5,151,"4,289",2016,Harris County
HOUSTON COMM COLLEGE PD,0,0,0,1,2,132,4,139,0,2016,Harris County
SPRING ISD PD,0,1,10,44,2,89,6,152,0,2016,Harris County
LAKEVIEW PD,0,0,1,1,5,15,2,24,"6,454",2016,Harris County
UNIV OF TX: HOUSTON  PD,0,1,0,0,23,267,5,296,0,2016,Harris County
SOUTHSIDE PLACE PD,0,0,1,0,1,25,1,28,"1,859",2016,Harris County
DAYTON PD,1,6,3,22,32,178,30,272,"7,638",2016,Liberty County
CLEVELAND PD (NR),1,3,16,51,57,340,48,516,"7,893",2016,Liberty County
LIBERTY PD,0,6,1,30,36,274,19,366,"9,169",2016,Liberty County
LIBERTY CO SO,2,36,4,124,256,348,81,851,"55,509",2016,Liberty County
MATAGORDA CO SO,1,9,6,49,126,192,18,401,"14,462",2016,Matagorda County
BAY CITY ISD PD,0,0,0,0,2,5,0,7,0,2016,Matagorda County
PALACIOS PD,0,4,0,9,39,88,9,149,"4,617",2016,Matagorda County
BAY CITY PD,1,9,12,35,152,593,4,806,"17,595",2016,Matagorda County
OAK RIDGE NORTH PD,0,0,1,3,7,66,3,80,"3,181",2016,Montgomery County
STAGECOACH PD (NR),0,0,0,0,0,0,0,0,589,2016,Montgomery County
MONTGOMERY PD,0,1,0,3,8,14,0,26,849,2016,Montgomery County
WILLIS PD,0,7,13,31,42,125,14,232,"6,401",2016,Montgomery County
WOODBRANCH PD (CB),0,0,0,0,1,3,0,4,"1,396",2016,Montgomery County
MONTGOMERY CO SO,10,52,90,379,"1,011","3,480",491,"5,513","453,685",2016,Montgomery County
MAGNOLIA PD,0,0,4,1,17,17,4,43,"1,932",2016,Montgomery County
SPLENDORA PD,0,0,0,3,9,14,5,31,"1,697",2016,Montgomery County
CONROE ISD PD,0,5,0,10,15,118,0,148,0,2016,Montgomery County
CONROE PD,1,43,87,125,380,"1,673",189,"2,498","71,111",2016,Montgomery County
PATTON VILLAGE PD,0,0,0,3,3,6,3,15,"1,632",2016,Montgomery County
ROMAN FOREST PD,0,0,0,0,2,9,2,13,"1,910",2016,Montgomery County
SHENANDOAH PD,1,0,5,0,14,250,13,283,"2,914",2016,Montgomery County
LIVINGSTON PD,0,6,4,16,22,173,15,236,"5,140",2016,Polk County
CORRIGAN PD,0,3,0,10,16,17,3,49,"1,529",2016,Polk County
POLK CO SO,1,31,8,29,221,354,62,706,"38,699",2016,Polk County
ONALASKA PD,0,0,0,8,10,1,3,22,"1,770",2016,Polk County
SAN JACINTO CO SO,1,13,4,29,144,170,48,409,"27,530",2016,San Jacinto County
HUNTSVILLE PD,0,28,26,118,141,560,49,922,"41,390",2016,Walker County
WALKER CO SO,1,20,6,64,99,130,47,367,"29,607",2016,Walker County
BROOKSHIRE PD,0,1,6,16,34,28,15,100,"5,203",2016,Waller County
WALLER CO SO,1,22,1,22,114,205,22,387,"26,941",2016,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,2,0,0,21,0,0,23,0,2016,Waller County
HEMPSTEAD PD,0,10,9,59,37,122,4,241,"7,403",2016,Waller County
PRAIRIE VIEW PD,0,0,1,6,16,17,1,41,"6,538",2016,Waller County
WALLER PD,0,0,1,7,19,40,6,73,"2,559",2016,Waller County
WHARTON CO SO,0,16,2,56,125,159,32,390,"21,088",2016,Wharton County
WHARTON PD,0,3,9,37,44,377,19,489,"8,706",2016,Wharton County
EL CAMPO PD,1,4,6,39,48,279,12,389,"11,604",2016,Wharton County
BELLVILLE PD,0,8,0,5,16,43,0,72,"4,304",2017,Austin County
SEALY ISD PD,0,0,0,0,1,3,1,5,0,2017,Austin County
AUSTIN CO SO,0,3,1,9,45,64,29,151,"17,798",2017,Austin County
WALLIS PD,0,0,0,2,1,4,0,7,"1,306",2017,Austin County
SEALY PD,0,0,4,18,35,69,15,141,"6,555",2017,Austin County
OYSTER CREEK PD,0,0,1,14,13,27,3,58,"1,129",2017,Brazoria County
MANVEL PD,1,0,2,6,40,59,9,117,"9,756",2017,Brazoria County
SWEENY PD,0,2,0,13,13,77,2,107,"3,773",2017,Brazoria County
WEST COLUMBIA PD,0,7,1,21,8,43,2,82,"3,938",2017,Brazoria County
DANBURY PD (NR),0,0,0,1,1,0,0,2,"1,791",2017,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,0,5,0,5,0,2017,Brazoria County
ANGLETON ISD PD,0,2,0,7,2,25,0,36,0,2017,Brazoria County
SURFSIDE BEACH PD,0,0,0,1,4,17,0,22,575,2017,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,1,0,3,1,6,0,11,0,2017,Brazoria County
BRAZOSPORT ISD PD,0,0,0,25,1,40,1,67,0,2017,Brazoria County
ANGLETON PD,0,12,4,29,46,254,24,369,"19,596",2017,Brazoria County
PEARLAND PD,2,32,25,96,252,"1,448",97,"1,952","117,869",2017,Brazoria County
ALVIN PD,1,21,13,14,83,342,60,534,"26,488",2017,Brazoria County
BRAZORIA CO SO,4,15,27,121,303,684,109,"1,263","120,049",2017,Brazoria County
CLUTE PD,1,1,2,16,43,190,18,271,"11,649",2017,Brazoria County
ALVIN ISD PD,0,1,0,10,3,146,0,160,0,2017,Brazoria County
RICHWOOD PD,0,1,0,6,9,27,3,46,"3,965",2017,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,0,0,0,0,0,0,0,"1,587",2017,Brazoria County
FREEPORT PD,0,4,6,27,43,186,12,278,"12,170",2017,Brazoria County
JONES CREEK PD (NR),0,0,0,1,4,9,1,15,"2,070",2017,Brazoria County
LAKE JACKSON PD,1,14,8,22,67,484,24,620,"27,647",2017,Brazoria County
BRAZORIA PD,0,0,2,4,11,42,5,64,"3,080",2017,Brazoria County
BRYAN PD,4,53,69,237,348,"1,557",123,"2,391","84,438",2017,Brazos County
COLLEGE STATION PD,1,53,49,127,300,"1,887",117,"2,534","115,357",2017,Brazos County
BRAZOS CO SO,1,8,1,27,73,220,15,345,"24,805",2017,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,10,1,8,31,347,12,409,0,2017,Brazos County
CHAMBERS CO SO,0,19,16,58,130,437,0,660,"30,576",2017,Chambers County
MONT BELVIEU PD,0,7,0,4,17,107,17,152,"5,913",2017,Chambers County
BARBERS HILL ISD PD,0,0,0,1,0,7,0,8,0,2017,Chambers County
ARCOLA PD,0,0,0,1,2,0,0,3,"2,315",2017,Fort Bend County
MEADOWS PLACE PD,0,0,1,3,18,106,12,140,"4,745",2017,Fort Bend County
NEEDVILLE PD,0,1,0,4,3,15,2,25,"3,101",2017,Fort Bend County
SUGAR LAND PD,0,15,36,20,158,"1,075",56,"1,360","89,790",2017,Fort Bend County
FORT BEND ISD PD,0,0,7,49,8,321,3,388,0,2017,Fort Bend County
MISSOURI CITY PD,2,23,46,78,133,767,69,"1,118","75,863",2017,Fort Bend County
ROSENBERG PD,1,29,36,60,119,378,59,682,"37,822",2017,Fort Bend County
FORT BEND CO SO,9,105,146,559,723,"3,049",246,"4,837","476,115",2017,Fort Bend County
STAFFORD PD,1,7,41,72,118,656,54,949,"18,530",2017,Fort Bend County
FULSHEAR PD,0,0,1,5,5,48,2,61,"8,350",2017,Fort Bend County
RICHMOND PD,0,6,13,23,45,157,9,253,"12,174",2017,Fort Bend County
LA MARQUE PD,6,19,14,51,112,576,64,842,"16,796",2017,Galveston County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,1,12,0,13,0,2017,Galveston County
KEMAH PD,0,0,6,1,8,143,6,164,"2,037",2017,Galveston County
