AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
UNIVERSAL CITY PD,0,5,9,28,84,266,27,419,20011,2015,Bexar County
UNIV OF TX: HSC - SAN ANTONIO PD,0,1,1,2,2,56,2,64,0,2015,Bexar County
EAST CENTRAL ISD PD (NR),0,0,0,0,0,0,0,0,0,2015,Bexar County
FAIR OAKS RANCH PD,0,2,0,2,13,33,2,52,7163,2015,Bexar County
ALAMO HEIGHTS PD,0,0,0,5,31,239,6,281,8003,2015,Bexar County
HOLLYWOOD PARK PD,0,0,0,0,41,60,7,108,3298,2015,Bexar County
HILL COUNTRY VILLAGE PD,0,0,1,0,13,32,8,54,1066,2015,Bexar County
SHAVANO PARK PD,0,0,2,0,15,62,2,81,3514,2015,Bexar County
JOHNSON CITY PD (NR),0,1,0,2,2,5,1,11,1909,2015,Blanco County
BLANCO PD,0,0,0,3,11,21,3,38,1903,2015,Blanco County
BLANCO CO SO,0,0,0,3,22,30,9,64,7101,2015,Blanco County
BORDEN CO SO,0,0,0,2,3,3,2,10,656,2015,Borden County
CLIFTON PD,0,0,0,5,12,21,0,38,3330,2015,Bosque County
MERIDIAN PD,0,0,0,0,0,0,0,0,1433,2015,Bosque County
VALLEY MILLS PD,0,0,0,0,0,0,0,0,1162,2015,Bosque County
BOSQUE CO SO,0,0,0,4,26,44,2,76,11789,2015,Bosque County
HOOKS PD,0,0,1,0,8,11,2,22,2747,2015,Bowie County
DE KALB PD (NR),1,0,0,4,18,27,3,53,1660,2015,Bowie County
TEXARKANA PD,3,20,51,210,320,1464,120,2188,37415,2015,Bowie County
NASH PD,0,1,1,26,9,29,6,72,3188,2015,Bowie County
NEW BOSTON PD,0,0,1,7,23,175,7,213,4737,2015,Bowie County
WAKE VILLAGE PD,0,0,1,4,20,85,4,114,5466,2015,Bowie County
BOWIE CO SO,0,23,6,96,181,327,59,692,38422,2015,Bowie County
DANBURY PD (NR),0,1,0,0,0,2,0,3,1767,2015,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,0,13,1,14,0,2015,Brazoria County
SURFSIDE BEACH PD,0,0,0,2,4,11,4,21,544,2015,Brazoria County
ANGLETON ISD PD,0,1,0,1,0,16,0,18,0,2015,Brazoria County
SWEENY PD,0,0,1,7,23,53,1,85,3780,2015,Brazoria County
WEST COLUMBIA PD,0,3,2,10,17,54,4,90,3953,2015,Brazoria County
OYSTER CREEK PD,0,0,1,10,14,19,8,52,1138,2015,Brazoria County
MANVEL PD,0,0,2,12,80,41,11,146,7752,2015,Brazoria County
ANGLETON PD,1,15,8,29,59,320,18,450,19629,2015,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,2,0,34,0,36,0,2015,Brazoria County
BRAZORIA CO SO,1,17,20,106,340,748,124,1356,117448,2015,Brazoria County
ALVIN PD,0,11,4,29,102,574,33,753,25842,2015,Brazoria County
PEARLAND PD,2,49,45,71,315,1744,105,2331,106850,2015,Brazoria County
ALVIN ISD PD,0,1,0,3,2,96,1,103,0,2015,Brazoria County
CLUTE PD,0,0,5,12,21,138,6,182,11437,2015,Brazoria County
FREEPORT PD,0,7,3,29,79,183,15,316,12227,2015,Brazoria County
RICHWOOD PD,0,0,0,0,11,15,3,29,3816,2015,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,0,1,0,1,0,0,2,1578,2015,Brazoria County
JONES CREEK PD (NR),0,0,0,2,3,7,0,12,2087,2015,Brazoria County
LAKE JACKSON PD,0,6,8,23,70,376,23,506,27802,2015,Brazoria County
BRAZORIA PD,0,3,2,4,8,31,2,50,3089,2015,Brazoria County
COLLEGE STATION PD,2,62,38,132,393,1964,98,2689,105855,2015,Brazos County
BRYAN PD,5,55,64,239,441,2010,122,2936,82050,2015,Brazos County
BRAZOS CO SO,2,11,3,75,107,206,12,416,25223,2015,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,3,0,1,28,448,12,492,0,2015,Brazos County
BREWSTER CO SO,0,1,0,4,18,14,2,39,3215,2015,Brewster County
SUL ROSS STATE UNIV PD,0,0,0,0,10,47,0,57,0,2015,Brewster County
ALPINE PD,1,1,0,4,7,27,5,45,5953,2015,Brewster County
BRISCOE CO SO,0,1,0,1,2,6,1,11,1518,2015,Briscoe County
FALFURRIAS PD,1,0,0,11,45,80,0,137,4938,2015,Brooks County
BROOKS CO SO,0,0,0,1,1,2,0,4,2268,2015,Brooks County
EARLY PD,0,1,1,11,17,56,1,87,2795,2015,Brown County
BROWNWOOD PD,1,26,12,57,144,550,21,811,18900,2015,Brown County
BROWN CO SO,0,0,5,22,59,92,4,182,14366,2015,Brown County
BANGS PD (NR),0,0,0,2,2,13,0,17,1564,2015,Brown County
SOMERVILLE PD,0,0,0,0,6,47,3,56,1365,2015,Burleson County
CALDWELL PD,1,0,1,3,3,22,1,31,4243,2015,Burleson County
BURLESON CO SO,0,13,0,19,53,53,9,147,11694,2015,Burleson County
BERTRAM PD,0,0,0,2,9,11,5,27,1380,2015,Burnet County
MARBLE FALLS PD,0,0,1,10,16,205,3,235,6212,2015,Burnet County
GRANITE SHOALS PD (NR),0,1,0,12,18,36,0,67,5018,2015,Burnet County
HORSESHOE BAY PD,0,0,1,9,6,27,2,45,3483,2015,Burnet County
BURNET CO SO,1,16,1,20,95,122,16,271,24894,2015,Burnet County
BURNET PD,0,6,1,23,15,66,1,112,6173,2015,Burnet County
LOCKHART PD,0,4,1,20,104,275,15,419,13354,2015,Caldwell County
MARTINDALE PD (NR),0,1,0,0,3,4,2,10,1224,2015,Caldwell County
LULING PD,0,2,4,20,16,84,5,131,5815,2015,Caldwell County
CALDWELL CO SO,0,0,0,37,73,72,26,208,19467,2015,Caldwell County
CALHOUN CO ISD PD,0,0,0,0,2,1,0,3,0,2015,Calhoun County
CALHOUN CO SO,5,0,0,19,45,59,3,131,7326,2015,Calhoun County
PORT LAVACA PD,0,11,3,71,104,167,21,377,12446,2015,Calhoun County
BAIRD MARSHAL’S OFFICE,0,1,0,0,11,14,0,26,1476,2015,Callahan County
CALLAHAN CO SO,1,0,1,10,30,34,11,87,8296,2015,Callahan County
CLYDE PD,1,0,2,3,28,41,4,79,3769,2015,Callahan County
CAMERON CO SO,3,51,34,129,429,865,65,1576,106787,2015,Cameron County
BROWNSVILLE ISD PD,0,0,0,88,22,136,0,246,0,2015,Cameron County
PORT OF BROWNSVILLE PD,0,0,0,1,3,5,0,9,0,2015,Cameron County
RANCHO VIEJO PD,0,0,1,1,6,9,0,17,2510,2015,Cameron County
SANTA ROSA PD (NR),0,0,0,1,2,17,0,20,2898,2015,Cameron County
BROWNSVILLE PD,3,53,154,292,1015,6498,143,8158,184941,2015,Cameron County
LAGUNA VISTA PD,0,1,0,4,6,27,2,40,3227,2015,Cameron County
SOUTH PADRE ISLAND PD,0,14,6,24,40,445,9,538,2904,2015,Cameron County
LOS FRESNOS PD,0,0,1,32,12,164,3,212,6577,2015,Cameron County
PORT ISABEL PD,0,0,2,33,36,212,5,288,5022,2015,Cameron County
LA FERIA PD,0,5,0,7,54,197,0,263,7315,2015,Cameron County
TSTC: HARLINGEN PD,0,1,0,1,0,15,0,17,0,2015,Cameron County
INDIAN LAKE PD (NR),0,0,0,0,0,1,0,1,645,2015,Cameron County
PALM VALLEY PD (NR),0,0,0,1,4,5,1,11,1301,2015,Cameron County
UT BROWNSVILLE PD (NR),0,0,0,0,0,12,0,12,0,2015,Cameron County
SAN BENITO PD,0,31,12,74,222,696,27,1062,24557,2015,Cameron County
HARLINGEN PD,1,31,51,116,531,1605,52,2387,66122,2015,Cameron County
PRIMERA PD,0,1,0,6,5,31,1,44,4242,2015,Cameron County
RIO HONDO PD,0,0,0,3,9,13,1,26,2436,2015,Cameron County
COMBES PD,0,0,0,3,13,33,0,49,3075,2015,Cameron County
PITTSBURG PD,2,4,3,29,48,85,18,189,4600,2015,Camp County
CAMP CO SO,1,0,0,3,48,71,21,144,8104,2015,Camp County
CARSON CO SO,0,0,0,22,15,22,3,62,3655,2015,Carson County
PANHANDLE PD,0,0,0,3,4,7,2,16,2335,2015,Carson County
HUGHES SPRINGS PD,0,0,0,5,6,5,1,17,1773,2015,Cass County
ATLANTA PD,0,10,3,16,52,175,3,259,5579,2015,Cass County
QUEEN CITY PD,0,3,1,6,6,14,0,30,1469,2015,Cass County
CASS CO SO,1,8,4,29,185,171,26,424,19105,2015,Cass County
LINDEN PD,0,1,0,8,12,27,3,51,1968,2015,Cass County
CASTRO CO SO,0,0,1,0,33,32,5,71,3493,2015,Castro County
DIMMITT PD,0,0,1,4,30,77,7,119,4226,2015,Castro County
CHAMBERS CO SO,3,10,12,92,135,500,79,831,29603,2015,Chambers County
MONT BELVIEU PD,0,2,2,2,9,87,32,134,5098,2015,Chambers County
BARBERS HILL ISD PD,0,0,0,1,0,4,1,6,0,2015,Chambers County
RUSK PD,1,4,0,8,16,55,4,88,5585,2015,Cherokee County
CHEROKEE CO SO,1,23,3,59,134,275,51,546,30477,2015,Cherokee County
JACKSONVILLE PD,1,8,14,72,132,343,19,589,14708,2015,Cherokee County
CHILDRESS CO SO,0,0,0,2,4,4,3,13,1026,2015,Childress County
CLAY CO SO,0,3,0,13,40,76,20,152,10303,2015,Clay County
COCHRAN CO SO,0,0,1,5,39,59,5,109,2892,2015,Cochran County
COKE CO SO,0,0,0,1,8,2,5,16,3244,2015,Coke County
COLEMAN PD,0,0,1,5,47,26,4,83,4387,2015,Coleman County
SANTA ANNA PD,0,0,0,0,7,18,1,26,1032,2015,Coleman County
WYLIE PD,1,21,5,17,52,293,13,402,47022,2015,Collin County
CELINA PD,0,1,1,8,12,50,2,74,7367,2015,Collin County
COLLIN CO SO,0,14,4,61,122,216,48,465,53505,2015,Collin County
ALLEN PD,0,34,6,40,167,826,48,1121,96642,2015,Collin County
PROSPER PD,0,0,1,8,35,122,2,168,15909,2015,Collin County
ANNA PD,0,1,2,9,35,76,3,126,11235,2015,Collin County
LAVON PD,0,0,0,0,5,14,0,19,2703,2015,Collin County
PARKER PD,0,0,0,1,14,22,1,38,4387,2015,Collin County
PLANO PD,5,105,118,245,744,4172,281,5670,282968,2015,Collin County
FARMERSVILLE ISD PD,0,0,0,0,0,4,0,4,0,2015,Collin County
FAIRVIEW PD,0,0,0,4,7,41,3,55,8648,2015,Collin County
MURPHY PD,0,6,3,8,13,110,3,143,20828,2015,Collin County
MELISSA PD,0,1,0,5,17,25,5,53,7303,2015,Collin County
PRINCETON PD,0,8,1,14,21,77,1,122,8495,2015,Collin County
MCKINNEY PD,2,47,63,153,297,2211,158,2931,163406,2015,Collin County
FARMERSVILLE PD,0,1,0,6,30,38,3,78,3455,2015,Collin County
FRISCO PD,2,33,29,76,365,1961,52,2518,152678,2015,Collin County
COLLINGSWORTH CO SO,0,0,0,8,10,7,0,25,3016,2015,Collingsworth County
WEIMAR PD,0,0,0,4,10,16,1,31,2129,2015,Colorado County
COLORADO CO SO,0,4,1,25,38,101,21,190,11342,2015,Colorado County
EAGLE LAKE PD (NR),0,1,2,2,7,8,0,20,3599,2015,Colorado County
COLUMBUS PD,0,0,1,7,18,60,2,88,3655,2015,Colorado County
COMAL CO SO,2,39,6,121,251,436,55,910,60993,2015,Comal County
NEW BRAUNFELS PD,2,21,31,121,270,1624,164,2233,68641,2015,Comal County
GARDEN RIDGE PD,0,2,0,0,6,24,0,32,3862,2015,Comal County
BULVERDE PD,0,2,0,7,12,61,2,84,4919,2015,Comal County
DE LEON PD,0,0,0,6,10,10,1,27,2155,2015,Comanche County
COMANCHE CO SO,1,0,0,5,22,50,4,82,7099,2015,Comanche County
COMANCHE PD,0,0,0,21,42,124,0,187,4234,2015,Comanche County
CONCHO CO SO,0,0,0,1,1,0,0,2,4048,2015,Concho County
OAK RIDGE PD (NR),0,0,0,0,0,2,0,2,179,2015,Cooke County
COOKE CO SO,0,0,0,0,0,0,0,0,21867,2015,Cooke County
GAINESVILLE PD,1,10,13,57,170,501,41,793,16119,2015,Cooke County
CORYELL CO SO,0,1,1,12,46,67,4,131,27345,2015,Coryell County
GATESVILLE PD,0,9,3,12,31,137,12,204,15901,2015,Coryell County
COPPERAS COVE PD,1,9,15,89,166,782,20,1082,33105,2015,Coryell County
PADUCAH PD (NR),0,0,0,5,1,2,0,8,1097,2015,Cottle County
COTTLE CO SO (NR),0,0,0,0,0,0,0,0,301,2015,Cottle County
CRANE CO SO,1,0,0,1,3,11,1,17,1166,2015,Crane County
CRANE PD,1,0,0,4,2,6,2,15,3951,2015,Crane County
CROCKETT CO SO,0,1,1,10,24,24,3,63,3847,2015,Crockett County
CROSBY CO SO,0,0,0,0,3,2,1,6,1195,2015,Crosby County
RALLS PD (NR),0,0,0,0,1,0,0,1,1863,2015,Crosby County
CROSBYTON PD (NR),0,0,0,1,15,5,0,21,1670,2015,Crosby County
CULBERSON CO SO (NR),0,0,0,0,0,0,0,0,2239,2015,Culberson County
DALHART PD,0,7,1,40,39,181,7,275,8416,2015,Dallam County
DALLAM CO SO,0,0,0,0,2,2,0,4,1608,2015,Dallam County
COPPELL PD,0,9,5,12,81,381,29,517,41170,2015,Dallas County
DESOTO PD,2,19,70,77,321,1004,129,1622,52609,2015,Dallas County
CEDAR HILL PD,3,14,38,39,192,1157,81,1524,48856,2015,Dallas County
UNIVERSITY PARK PD,0,0,2,1,30,245,11,289,24729,2015,Dallas County
UNIV OF TX: SW MED SCHOOL PD,0,0,1,3,17,109,4,134,0,2015,Dallas County
SOUTHERN METHODIST UNIV PD,0,3,0,1,2,152,0,158,0,2015,Dallas County
IRVING PD,9,32,197,231,1100,4339,602,6510,236465,2015,Dallas County
WILMER PD,0,0,1,2,12,54,11,80,3889,2015,Dallas County
BALCH SPRINGS PD,1,22,41,186,198,731,165,1344,25426,2015,Dallas County
LANCASTER PD,4,17,79,90,373,987,216,1766,38884,2015,Dallas County
DALLAS CO SO,0,6,3,16,79,179,34,317,19287,2015,Dallas County
DUNCANVILLE PD,4,12,94,55,200,863,157,1385,39988,2015,Dallas County
CARROLLTON PD,2,16,70,108,547,2067,257,3067,130676,2015,Dallas County
MOUNTAIN VIEW COLLEGE PD (NR),0,0,0,1,0,13,2,16,0,2015,Dallas County
FARMERS BRANCH PD,1,5,18,25,124,573,100,846,33626,2015,Dallas County
RICHLAND COLLEGE PD (NR),0,0,1,0,0,25,3,29,0,2015,Dallas County
BAYLOR HEALTH CARE SYSTEM PD,0,2,1,0,7,454,10,474,0,2015,Dallas County
HUTCHINS PD,0,0,2,8,28,124,11,173,5452,2015,Dallas County
GLENN HEIGHTS PD,0,6,7,29,59,143,23,267,12060,2015,Dallas County
COCKRELL HILL PD,0,6,10,4,18,66,16,120,4334,2015,Dallas County
SEAGOVILLE PD,2,0,6,15,83,338,104,548,15917,2015,Dallas County
NORTH LAKE COLLEGE PD (NR),0,0,0,1,2,17,0,20,0,2015,Dallas County
DALLAS PD,136,782,4177,3943,11121,26076,7594,53829,1301977,2015,Dallas County
MESQUITE PD,7,50,224,202,1146,3915,860,6404,145569,2015,Dallas County
HIGHLAND PARK PD,0,0,2,0,11,154,13,180,9045,2015,Dallas County
DALLAS CO. HOSP DIST PD (NR),0,1,2,37,6,314,2,362,0,2015,Dallas County
ROWLETT PD,1,28,16,67,140,699,30,981,58933,2015,Dallas County
OVILLA PD,0,0,0,5,7,18,2,32,3651,2015,Dallas County
RICHARDSON PD,1,22,70,74,370,1706,149,2392,111008,2015,Dallas County
CEDAR HILL ISD PD (NR),0,0,1,4,3,15,0,23,0,2015,Dallas County
GARLAND PD,8,107,323,271,1374,5363,754,8200,237593,2015,Dallas County
SACHSE PD,0,4,2,7,47,207,8,275,24564,2015,Dallas County
BROOKHAVEN COLLEGE PD (NR),0,0,0,0,1,22,1,24,0,2015,Dallas County
ADDISON PD,0,10,13,42,104,573,82,824,16125,2015,Dallas County
GRAND PRAIRIE PD,7,90,138,226,700,2897,492,4550,187901,2015,Dallas County
UNIV OF TX: DALLAS PD,0,2,0,1,4,145,2,154,0,2015,Dallas County
DAWSON CO SO,0,0,1,1,12,19,6,39,3723,2015,Dawson County
LAMESA PD,1,9,4,32,112,273,23,454,9443,2015,Dawson County
DEAF SMITH CO SO,0,0,0,1,30,40,15,86,4011,2015,Deaf Smith County
HEREFORD PD,0,8,8,34,68,257,18,393,15165,2015,Deaf Smith County
DELTA CO SO,0,0,0,4,17,15,1,37,5249,2015,Delta County
DENTON CO SO,0,17,5,57,124,359,40,602,113789,2015,Denton County
TROPHY CLUB PD,0,1,0,2,6,35,0,44,12153,2015,Denton County
NORTHLAKE PD,0,0,0,6,12,48,3,69,1934,2015,Denton County
UNIV OF NORTH TEXAS PD,0,2,0,3,16,153,2,176,0,2015,Denton County
AUBREY PD,0,0,0,0,15,21,8,44,2864,2015,Denton County
LEWISVILLE PD,2,44,59,138,404,1793,223,2663,104741,2015,Denton County
CORINTH PD,0,1,3,23,30,156,20,233,21086,2015,Denton County
HICKORY CREEK PD,0,0,0,5,11,51,2,69,4223,2015,Denton County
PONDER PD,0,1,0,3,3,12,1,20,1506,2015,Denton County
FLOWER MOUND PD,0,9,5,20,80,403,22,539,70894,2015,Denton County
ROANOKE PD,0,2,3,11,21,177,10,224,7229,2015,Denton County
ARGYLE PD,0,0,0,0,13,13,1,27,3845,2015,Denton County
LITTLE ELM PD,0,2,5,31,38,175,15,266,38205,2015,Denton County
LAKE DALLAS PD,0,2,0,35,23,75,12,147,7505,2015,Denton County
PILOT POINT PD,0,0,0,4,10,27,2,43,4104,2015,Denton County
BARTONVILLE PD,0,0,0,0,0,7,0,7,1682,2015,Denton County
THE COLONY PD,2,17,15,37,85,377,47,580,42657,2015,Denton County
DENTON PD,2,96,58,145,402,2521,179,3403,131194,2015,Denton County
SANGER PD,0,2,0,13,21,89,16,141,7768,2015,Denton County
HIGHLAND VILLAGE PD,0,1,1,12,15,104,8,141,16214,2015,Denton County
DOUBLE OAK PD,0,0,0,0,8,9,0,17,3074,2015,Denton County
KRUGERVILLE PD,0,0,1,2,11,129,1,144,2517,2015,Denton County
TEXAS WOMAN'S UNIV PD,0,1,0,2,3,46,0,52,0,2015,Denton County
YORKTOWN PD (CB) (NR),0,2,1,8,14,14,1,40,2144,2015,DeWitt County
DEWITT CO SO,0,3,0,13,139,89,5,249,9399,2015,DeWitt County
CUERO PD,0,10,1,53,46,192,4,306,7115,2015,DeWitt County
DICKENS CO SO (NR),0,0,0,1,6,4,1,12,983,2015,Dickens County
SPUR PD (NR),0,0,0,2,4,1,0,7,1185,2015,Dickens County
DIMMIT CO SO,0,0,1,9,55,204,14,283,11396,2015,Dimmit County
DONLEY CO SO,0,0,0,6,9,39,8,62,3507,2015,Donley County
DUVAL CO SO,0,0,3,41,58,77,19,198,5287,2015,Duval County
FREER PD,0,0,0,6,12,37,2,57,2749,2015,Duval County
SAN DIEGO PD,0,0,1,17,22,29,2,71,4385,2015,Duval County
CISCO PD,0,0,0,1,24,30,8,63,3746,2015,Eastland County
EASTLAND CO SO,0,5,1,1,43,39,7,96,6218,2015,Eastland County
RANGER PD,0,3,0,22,44,86,5,160,2450,2015,Eastland County
GORMAN PD (NR),0,0,0,3,7,30,1,41,1040,2015,Eastland County
EASTLAND PD,0,2,1,19,27,111,7,167,3838,2015,Eastland County
ECTOR CO SO,2,17,43,394,408,1413,304,2581,42191,2015,Ector County
ODESSA PD,10,72,161,985,862,3192,487,5769,118606,2015,Ector County
ECTOR CO ISD PD,0,0,0,36,10,97,4,147,0,2015,Ector County
UNIV OF TX: PERMIAN BASIN PD,0,0,0,0,7,12,3,22,0,2015,Ector County
EDWARDS CO SO,1,0,0,1,6,14,1,23,1856,2015,Edwards County
WAXAHACHIE PD,0,1,15,32,110,691,59,908,33012,2015,Ellis County
PALMER PD,0,0,1,0,7,24,0,32,2043,2015,Ellis County
FERRIS PD,0,2,0,1,12,40,7,62,2523,2015,Ellis County
MIDLOTHIAN PD,0,4,5,14,64,191,20,298,21607,2015,Ellis County
ENNIS PD,0,5,11,36,101,506,29,688,18885,2015,Ellis County
RED OAK PD,0,0,6,6,35,259,31,337,11751,2015,Ellis County
ITALY PD,0,0,0,6,19,13,3,41,1888,2015,Ellis County
MILFORD PD,0,0,0,0,0,0,0,0,730,2015,Ellis County
ELLIS CO SO,1,7,3,39,110,250,59,469,62536,2015,Ellis County
ANTHONY PD,0,1,3,5,11,161,3,184,5524,2015,El Paso County
SOCORRO PD,0,2,8,28,71,248,32,389,33110,2015,El Paso County
HORIZON CITY PD,0,0,5,13,32,180,11,241,19995,2015,El Paso County
EL PASO PD,17,322,410,1766,1419,10916,798,15648,686077,2015,El Paso County
EL PASO ISD PD,0,4,3,31,36,242,1,317,0,2015,El Paso County
EL PASO CO SO,6,40,15,268,246,562,99,1236,97068,2015,El Paso County
SOCORRO ISD PD,0,0,0,7,9,81,0,97,0,2015,El Paso County
UNIV OF TX: EL PASO PD,0,1,0,10,27,117,2,157,0,2015,El Paso County
EL PASO COMM COLLEGE PD,0,0,0,0,0,45,1,46,0,2015,El Paso County
STEPHENVILLE PD,0,7,2,23,91,262,9,394,19991,2015,Erath County
DUBLIN PD,0,0,0,7,29,34,5,75,3616,2015,Erath County
ERATH CO SO,0,3,1,15,45,46,11,121,17219,2015,Erath County
TARLETON STATE UNIV PD,0,2,0,0,10,72,1,85,0,2015,Erath County
FALLS CO SO,0,0,0,16,35,52,17,120,9036,2015,Falls County
MARLIN PD,0,2,7,9,24,37,4,83,5682,2015,Falls County
FANNIN CO SO,0,4,1,19,81,60,10,175,21135,2015,Fannin County
BONHAM PD,0,3,3,9,70,155,5,245,10042,2015,Fannin County
FAYETTE CO SO,0,3,0,6,59,85,9,162,15991,2015,Fayette County
LA GRANGE PD,0,1,2,16,17,66,4,106,4679,2015,Fayette County
FLATONIA PD,0,0,0,2,10,10,2,24,1387,2015,Fayette County
SCHULENBURG PD,0,1,1,26,15,43,1,87,2904,2015,Fayette County
FISHER CO SO,0,0,1,19,39,36,2,97,3809,2015,Fisher County
FLOYDADA PD,0,2,1,9,15,43,2,72,2756,2015,Floyd County
FLOYD CO SO,0,0,0,1,14,24,6,45,3099,2015,Floyd County
